id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25068907,Antwerpen quiet appartment in green surroundings,50671362,Filip,,Hoboken - Centrum,51.17345,4.35422,Entire home/apt,58,4,67,2024-11-15,0.84,1,27,7,
25071158,Sunny studio overlooking the city park.,820292,Jonas,,Centraal Station,51.21428,4.41627,Entire home/apt,38,8,61,2024-11-14,0.82,1,47,11,
25108061,"Cosy 1-bedroom, ground flr flat",42937731,Jonas,,Brederode,51.20251,4.39393,Entire home/apt,87,5,10,2024-10-20,0.69,1,216,6,
25148862,Maison Emile - Executive Room,186414084,Yannick,,Nieuw - Zuid,51.20422,4.388,Private room,224,1,2,2022-02-05,0.04,3,354,0,
25150029,Maison Emile - Superior Room,186414084,Yannick,,Nieuw - Zuid,51.20475,4.38782,Private room,199,1,10,2022-10-29,0.14,3,356,0,
25152004,Maison Emile - Comfort Single Room,186414084,Yannick,,Nieuw - Zuid,51.20433,4.38846,Private room,,1,1,2021-12-02,0.03,3,0,0,
25493896,Arthur and James Antwerp,5732699,Gert,,Amandus - Atheneum,51.2193,4.42581,Private room,,4,21,2024-12-16,0.30,1,0,10,
25515794,* Casa Amazing * with lovely garden,52384223,Annelies,,Deurne Zuid West,51.21006,4.45738,Entire home/apt,,1,76,2021-09-19,0.96,2,0,0,
25532901,STUDIO in the heart of Antwerp!,174932988,Olivier,,Universiteitsbuurt,51.21967,4.41386,Entire home/apt,,2,153,2023-07-24,1.91,5,0,0,
25610607,B&B Arthur and James,192406503,Soufiane,,Amandus - Atheneum,51.21923,4.42517,Private room,,1,1,2018-07-29,0.01,1,0,0,
25960097,"""Pagadder Flat""",193627086,Willy,,Historisch Centrum,51.2216,4.40156,Entire home/apt,,10,43,2024-10-05,0.55,2,0,4,
25973713,Complete house | 14 people | Antwerp City Center,4113286,Kathleen,,Sint-Andries,51.21551,4.3964,Entire home/apt,815,2,70,2024-11-03,0.89,2,293,11,
26023466,Cozy & Spacious Duplex with an Amazing Terrace,195447870,Barbara,,Historisch Centrum,51.22712,4.40483,Entire home/apt,129,1,528,2024-12-27,6.66,3,343,99,
