id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
831122937768017113,Boho-Chic Cape Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,233,2,86,2024-12-29,3.87,1,237,43,
841524382518312215,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66008,-73.76977,Entire home/apt,120,3,6,2024-07-09,0.37,2,364,5,
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,3,12,2023-12-03,0.65,2,356,0,
843481456379840308,Center Square Serenity: 2-Bedroom Elegance,188679144,Elizabeth,,SIXTH WARD,42.65483,-73.76353,Entire home/apt,99,1,2,2023-09-04,0.09,8,364,0,
845960193409947556,Modern Cottage-Perfect for Families!,268741708,Antoinette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,324,2,91,2024-11-10,4.18,1,89,48,
846586211673806912,Spacious Home Away from Home!,49372011,Philip,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,167,3,18,2024-08-24,0.85,2,3,7,
849460179246794510,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,270,2,1,2024-02-18,0.09,3,267,1,
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,95,1,150,2025-01-04,7.03,1,0,90,
850653820133738660,"Private queen room near Albany Med, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,65,3,13,2024-10-29,0.74,5,61,8,
857981934159027424,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,93,2,19,2024-11-11,0.96,3,314,8,
870457209918967324,Quiet Room Near Everything,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,55,3,4,2024-03-02,0.26,2,188,2,
879054943124868639,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Entire home/apt,169,7,0,,,1,263,0,
880290989870286099,Spacious 3BR with 2BA & Laundry,49372011,Philip,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,155,2,26,2024-09-02,1.29,2,160,8,
881231954286264195,Exposed Brick with Park Views,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,80,1,15,2024-11-23,0.73,11,364,7,
882229561343619620,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,66,2,58,2024-12-10,2.90,1,63,30,
887167811237271928,The Comfort II,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,40,1,25,2024-11-11,1.29,2,338,12,
887179061681202083,The Comfort,459472925,Gabriel,,THIRD WARD,42.6628771,-73.76534029999999,Private room,40,1,29,2024-11-15,1.45,2,341,18,
888859204851381094,Walk to Downtown Albany: Ten Broeck Triangle Apt!,121680792,Evolve,,THIRD WARD,42.65822,-73.75132,Entire home/apt,106,2,13,2024-11-03,0.65,6,347,10,
898743867240851780,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,199,2,48,2024-12-28,2.54,1,85,20,
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,47,2024-11-10,2.49,18,363,26,
902326803627859755,"""The LEO Home"" Private Bedroom 4",349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,30,0,,,17,277,0,
904392960639597224,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,153,1,18,2024-12-08,0.94,8,116,11,
905007131419044966,*The Red House* 4 Bedrooms•Beautifully Renovated,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,232,1,57,2024-12-28,3.15,17,279,39,
910155617642317638,Exclusive | Suite ~ Extended Stay,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,2023-07-26,0.06,3,0,0,
917510613914219375,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,,1,10,2024-09-29,0.55,3,0,3,
917639722733180899,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.65194,-73.78593,Entire home/apt,,2,121,2024-12-17,6.45,2,351,51,
919055506310955442,Room for rent,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
921076441920995839,Work hard! Play hard!,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,80,14,3,2024-12-21,0.17,4,268,1,
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,,THIRTEENTH WARD,42.67066,-73.79571,Entire home/apt,62,1,55,2025-01-01,3.13,2,235,43,
932618854176539492,Cozy space all on 1 floor close to U Albany,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79264,Entire home/apt,145,1,40,2024-12-01,2.22,23,89,35,
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,,THIRTEENTH WARD,42.67224,-73.79301,Entire home/apt,125,1,36,2024-11-29,2.03,23,89,26,
934035097653060273,Washington Park Inn 7,493882819,Terra,,SIXTH WARD,42.65655,-73.77434,Private room,,1,8,2024-10-06,0.45,6,0,5,
937837897631191844,Hudson 2 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65867,-73.77479,Private room,195,1,2,2023-12-31,0.12,12,126,0,
937838302933205871,Hudson 1 at The Argus Hotel,526358730,Argus,,ELEVENTH WARD,42.6606,-73.77284,Private room,166,1,7,2024-10-16,0.46,12,136,3,
937871330299571029,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.65184,-73.78582,Entire home/apt,170,2,68,2024-12-21,3.95,2,0,13,
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,Argus,,TENTH WARD,42.65908,-73.77456,Private room,166,1,6,2024-10-14,0.35,12,141,2,
937927979762952955,Hudson 4 at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66043,-73.77432,Private room,166,1,2,2024-10-12,0.48,12,126,2,
937935210290408974,Hudson 5 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65847,-73.77272,Private room,166,1,4,2024-10-28,0.27,12,128,3,
937943638262956751,Whalen 1 Suite at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65908,-73.77326,Private room,,1,2,2024-10-06,0.16,12,128,1,
937959604296602771,Whalen 2 Deluxe at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66003,-73.7732,Private room,,1,0,,,12,132,0,
937966967490420635,Whalen 3 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65857,-73.7744,Private room,,1,0,,,12,137,0,
938260134617291567,Whalen 4 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65893,-73.77448,Private room,180,1,0,,,12,136,0,
938266199766701429,Knickerbocker 1 The Argus Hotel,526358730,Argus,,TENTH WARD,42.66037,-73.77327,Private room,180,1,0,,,12,138,0,
938271786418327576,Knickerbocker 3 The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65868,-73.77333,Private room,,1,0,,,12,142,0,
938280419686165005,Carriage House The Argus Hotel,526358730,Argus,,TENTH WARD,42.66036,-73.7729,Entire home/apt,338,1,15,2024-12-08,0.87,12,118,11,
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,Fs,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,55,2,23,2024-12-17,1.30,4,280,15,
938431811499141903,The little room with TV and twin bed,116935236,Fs,,THIRTEENTH WARD,42.66974,-73.78611,Private room,40,2,27,2025-01-02,1.52,4,364,24,
938475906652462790,Colorful and eclectic apartment,132766782,Kelly,,TWELFTH WARD,42.67398,-73.79126,Entire home/apt,125,3,8,2024-11-30,0.92,1,268,8,
940012438497375577,Sunny King bed w private luxurious bath & garden,172539578,David Yisrael,,FIFTEENTH WARD,42.68001107488553,-73.81705995884008,Private room,51,3,5,2024-12-07,0.30,4,25,3,
942750363293463100,The spacious room w/ dresser/desk,116935236,Fs,,ELEVENTH WARD,42.67034,-73.7851,Private room,55,2,17,2024-12-31,1.42,4,259,17,
950211425725610511,"Historic, Spacious Mansion Suite",1717342,David,,SIXTH WARD,42.6541815,-73.76086049999999,Entire home/apt,,1,138,2024-12-15,8.18,2,231,98,
950613505102507073,A beautiful cozy home,529844022,Shirin,,FIRST WARD,42.63855,-73.76927,Entire home/apt,,1,0,,,1,0,0,
957914480227791276,"2 bedroom+home office, private parking & backyard",217254883,Ermenita,,NINTH WARD,42.6549886,-73.79390939999999,Entire home/apt,139,1,99,2024-12-09,5.87,1,351,72,
