id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo (libros, partituras, audiovisuales)";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de cabinas de ensayo";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo de instrumentos musicales a domicilio";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de información general y especializada";1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de reprografía de documentos (fotocopias, digitalización);1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);"2_¿Ha utilizado el servicio de préstamo de documentos?
";3_Valore el servicio de préstamo de documentos;"4_¿Ha utilizado el servicio de reprografía de la biblioteca?
";"5_Valore el servicio de reprografía de la biblioteca
";6_¿Ha participado en alguna actividad organizada por la biblioteca (visitas guiadas, conciertos, talleres, exposiciones, conferencias, presentaciones, etc.?;7_Valore la actividad realizada;8_¿Conoce la página web de la biblioteca?;9_Valore la actualización de la información y los contenidos;10_Valore el acceso al catálogo en línea;11_Valore las búsquedas en el catálogo en línea;"12_El edificio y sus instalaciones 
";"13_El trato recibido por el personal
";14_El préstamo de instrumentos;15_La ordenación de la colección de libre acceso;16_La adecuación de la colección a sus necesidades;17_Tiempo de espera con el suministro de fondos desde el depósito;18_La información general y especializada recibida tras una consulta;19_¿Ha utilizado la red Wifi?;20_La calidad de la conexión a través de la red WiFi;21_Las condiciones de los instrumentos de las cabinas de ensayo;22_¿Cuál es su valoración general de la biblioteca y sus servicios?;23_¿Qué medidas sugiere para mejorar la calidad de los servicios de la biblioteca?;24_¿Cuál es su grupo de edad?;25_¿Cuál es su sexo?;Columna1
40924965;2023-11-11 05:35:04;2023-11-11 05:50:39;339096;;Completa;Tablet;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;7;7;5;5;5;5;No;;5;7;"Es complicado conseguir telefónicamente la cita para la renovación de instrumentos; además, se tarda casi dos meses en dar el OK a una pequeña reparación necesaria e mi instrumento, aunque venía dañado de antes y no era por mi uso, Me gustaría que ese trámite pudiera aligerarse más, ya que, después, está el periodo de reparación en sí por el luthier, que amplia otras semanas el tiempo sin el instrumento. Muchas gracias.";De 26 a 40 años;Hombre;
40925986;2023-11-11 13:19:12;2023-11-11 13:21:12;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;;;;;;;;;9;9;8;9;8;;;;;;9;;De 41 a 64 años;Mujer;
40927935;2023-11-11 19:29:23;2023-11-11 19:31:39;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;10;Sí;10;No;;Sí;10;10;10;10;10;10;10;9;10;10;No;;10;10;;De 41 a 64 años;Hombre;
40929369;2023-11-12 00:28:55;2023-11-12 00:32:01;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;7;10;10;6;9;9;10;No;;8;10;;De 41 a 64 años;Mujer;
40929506;2023-11-12 01:11:41;2023-11-12 01:13:30;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;9;7;9;9;6;9;No;;8;9;;De 41 a 64 años;Mujer;
40930873;2023-11-12 10:24:42;2023-11-12 10:26:27;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;;;;;8;7;;;;;;;;;8;Que hubiera turnos o más personal para que los horarios de las salas de ensayo pudieran terminar más tarde;De 41 a 64 años;Mujer;
40930876;2023-11-12 10:27:07;2023-11-12 10:28:54;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;7;6;8;10;10;10;9;10;9;9;No;;8;9;;De 18 a 25 años;Mujer;
40932256;2023-11-12 16:56:05;2023-11-12 16:58:04;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;8;No;;Sí;8;No;;;;8;10;;7;7;;7;No;;;8;;De 41 a 64 años;Hombre;
40932618;2023-11-12 18:34:18;2023-11-12 18:36:45;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;7;No;;No;;Sí;5;7;6;6;9;;;;;;;;;8;;Más de 65 años;Hombre;
40933993;2023-11-13 00:47:28;2023-11-13 00:49:54;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;8;8;8;7;7;8;Sí;8;9;8;No sé si es posible despegar los pianos del muro con el cubículo colindante porque el sonido se traspasa y es muy difícil ensayar propiamente. Además, es una pena, puesto que en sí las cabinas están bien aisladas.;De 18 a 25 años;Hombre;
