id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo (libros, partituras, audiovisuales)";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de cabinas de ensayo";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo de instrumentos musicales a domicilio";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de información general y especializada";1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de reprografía de documentos (fotocopias, digitalización);1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);"2_¿Ha utilizado el servicio de préstamo de documentos?
";3_Valore el servicio de préstamo de documentos;"4_¿Ha utilizado el servicio de reprografía de la biblioteca?
";"5_Valore el servicio de reprografía de la biblioteca
";6_¿Ha participado en alguna actividad organizada por la biblioteca (visitas guiadas, conciertos, talleres, exposiciones, conferencias, presentaciones, etc.?;7_Valore la actividad realizada;8_¿Conoce la página web de la biblioteca?;9_Valore la actualización de la información y los contenidos;10_Valore el acceso al catálogo en línea;11_Valore las búsquedas en el catálogo en línea;"12_El edificio y sus instalaciones 
";"13_El trato recibido por el personal
";14_El préstamo de instrumentos;15_La ordenación de la colección de libre acceso;16_La adecuación de la colección a sus necesidades;17_Tiempo de espera con el suministro de fondos desde el depósito;18_La información general y especializada recibida tras una consulta;19_¿Ha utilizado la red Wifi?;20_La calidad de la conexión a través de la red WiFi;21_Las condiciones de los instrumentos de las cabinas de ensayo;22_¿Cuál es su valoración general de la biblioteca y sus servicios?;23_¿Qué medidas sugiere para mejorar la calidad de los servicios de la biblioteca?;24_¿Cuál es su grupo de edad?;25_¿Cuál es su sexo?;Columna1
40884556;2023-11-08 18:51:25;2023-11-08 18:52:58;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;Servicio de información general y especializada;;;No;;;9;No;;;;10;10;;;;;;;;Sí;7;10;10;Cachopo;De 41 a 64 años;;
40884577;2023-11-08 18:52:22;2023-11-08 18:54:37;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;4;10;10;5;10;No;;10;10;Podría decir que el servicio que brindan es excelente.;De 41 a 64 años;Mujer;
40884597;2023-11-08 18:53:09;2023-11-08 18:56:00;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;8;No;;No;;Sí;7;7;8;9;7;6;7;5;7;5;No;;7;8;Hay pocos libros sobre música contemporánea y electroacústica;De 18 a 25 años;Hombre;
40884637;2023-11-08 18:55:41;2023-11-08 18:56:36;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;Sí;;No;;Sí;;No;;;;7;8;;9;8;;6;No;;;9;;De 26 a 40 años;;
40884706;2023-11-08 19:00:21;2023-11-08 19:02:06;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;8;9;9;10;10;;;;;;;;;10;;De 26 a 40 años;Mujer;
40884752;2023-11-08 19:02:41;2023-11-08 19:04:17;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;9;10;10;6;10;5;No;;10;8;;De 26 a 40 años;;
40884798;2023-11-08 19:05:26;2023-11-08 19:10:40;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;10;10;10;10;No;;10;10;Estaría muy bien que el tiempo de uso de las cabinas de ensayo de instrumento fuera más amplio. Teniendo en cuenta que no se pueden usar dos días de seguido, al menos podría usarse dos horas cada día que vamos, ya que 1h 30' no es suficiente tiempo para estudiar el instrumento, sobretodo para los que solo tenemos ese lugar para ir a tocar.;De 26 a 40 años;Mujer;
40884810;2023-11-08 19:06:33;2023-11-08 19:09:04;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;No;;No;;No;;Sí;9;9;9;9;5;9;9;9;9;9;No;;9;9;Ampliar fondos y más actividades.;De 41 a 64 años;Hombre;
40884838;2023-11-08 19:08:48;2023-11-08 19:12:33;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;;;;;;;No;;7;8;;De 26 a 40 años;Mujer;
40884900;2023-11-08 19:11:53;2023-11-08 19:15:51;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);;;No;;Sí;10;Sí;4;6;5;8;9;4;9;6;8;4;No;;4;8;"Habría que contemplar la renovación de los instrumentos de cabina y la posibilidad de que las cabinas tengan ventana, son espacios mal iluminados y algo agobiantes. También se podría ampliar el préstamo de instrumentos a gente que no esté cursando un grado concreto en ese instrumento. Pero en general estoy muy contenta con los servicios. Las profesoras del coro son un 10. ;) ";De 26 a 40 años;Mujer;
40884911;2023-11-08 19:15:02;2023-11-08 19:16:02;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;2;2;3;10;6;8;10;7;10;5;No;;8;10;Más cabinas de ensayo para bandas independiente ;De 26 a 40 años;Hombre;
40884948;2023-11-08 19:15:14;2023-11-08 19:21:29;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;9;8;8;10;10;9;;9;9;9;No;;10;10;Ampliación del número de cabinas de ensayo.;De 41 a 64 años;;
40884952;2023-11-08 19:15:25;2023-11-08 19:25:07;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;No;;10;10;;De 41 a 64 años;Hombre;
40884972;2023-11-08 19:16:03;2023-11-08 19:17:53;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;10;No;;No;;Sí;8;9;9;10;10;10;10;10;10;10;No;;10;10;;De 26 a 40 años;Hombre;
40885005;2023-11-08 19:18:23;2023-11-08 19:44:41;339096;;Parcial;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;5;5;5;7;1;;;;;;No;;7;2;Tomar medidas disciplinarias contra los ;;;
40885078;2023-11-08 19:22:03;2023-11-08 19:24:10;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;;;;8;6;6;;;;;No;;6;6;;De 41 a 64 años;Hombre;
40885087;2023-11-08 19:22:13;2023-11-08 19:22:45;339096;;Parcial;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;;;;;;;;;;;;;;;;;;;;;;;;
40885098;2023-11-08 19:22:47;2023-11-08 19:24:57;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;No;;;;10;;8;;;10;;No;;;;;De 41 a 64 años;;
40885156;2023-11-08 19:27:50;2023-11-08 19:29:09;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;No;;Sí;10;Sí;10;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;De 26 a 40 años;Hombre;
40885243;2023-11-08 19:33:19;2023-11-08 19:36:47;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;8;8;8;8;8;8;8;Sí;8;8;8;;De 41 a 64 años;Mujer;
40885293;2023-11-08 19:36:16;2023-11-08 19:41:03;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;10;8;3;9;10;4;8;8;8;No;;5;7;El acondicionamiento de las cabinas de ensayo, que es lo que yo utilizo, es manifiestamente mejorable: insonorización, ventilación. Los pianos necesitarían un mantenimiento que no tienen, o al menos no tienen con la periodicidad que es necesaria para el número de manos diferentes que los tocan cada día. EL servicio de cita previa para las cabinas es excelente, pero en mi opinión habría que penalizar más a las personas que reservan y no aparecen. De forma habitual, de las 6 cabinas con piano siempre sobra alguna o algunas en cada tramo horario, y muchas veces no acudo porque no hay citas en la web cuando al final sí que van a sobrar cabinas, esto es claramente porque hay mucha gente que reserva y no aparece. Es una lástima. Por otra parte no hay un servicio igual en Madrid, público, gratuito. Algunos como yo nos desplazamos mucho tiempo para ir a Conde Duque a tocar, a estudiar. Sería genial poder tener tramos horarios un poco más largos, como de 2h al menos, y que a las personas que realmente reservamos y vamos siempre que se nos permita a veces reservar dos tramos seguidos, días consecutivos, etc. Gracias por preguntarnos!;De 26 a 40 años;Hombre;
40885305;2023-11-08 19:36:59;2023-11-08 19:37:45;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;7;10;5;5;;;;;;;;;;;
40885387;2023-11-08 19:42:30;2023-11-08 19:45:35;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;No;;No;;No;;No;;;;9;10;10;9;10;10;;;;;10;;De 26 a 40 años;;
40885399;2023-11-08 19:43:10;2023-11-08 19:43:56;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;8;8;9;9;;;;;;;;;;;;;
40885478;2023-11-08 19:44:39;2023-11-08 19:49:24;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;10;No;;No;;No;;;;8;10;8;8;10;10;8;No;;8;9;"Ampliar los fondos de libros y partituras progresivamente; dar difusión on line de las actividadese las actividades";Más de 65 años;Hombre;
40885497;2023-11-08 19:46:09;2023-11-08 19:49:26;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;9;5;5;5;5;5;No;;8;8;Sería ideal la apertura de un horario de salas de ensayo en los fines de semana. ;;;
40885502;2023-11-08 19:46:18;2023-11-08 19:48:47;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;;;No;;;;10;10;10;10;10;10;10;No;;10;10;Más calefacción, en invierno en ocasiones hace frío en la biblioteca. ;De 41 a 64 años;Mujer;
40885508;2023-11-08 19:46:37;2023-11-08 19:49:06;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;8;10;10;10;10;10;10;No;;8;9;Sería estupendo que se pudiesen hacer más reservas (todos los días por ejemplo o durante más tiempo) y que hubiese más cabinas de ensayo.;De 26 a 40 años;Mujer;
40885607;2023-11-08 19:51:13;2023-11-08 19:56:41;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;Servicio de información general y especializada;Servicio de reprografía de documentos (fotocopias, digitalización);Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;Sí;0;Sí;9;Sí;9;10;7;10;10;10;10;10;9;7;No;;10;9;Por favor, no incluyan la reprografía como servicio ya que es inexistente desde hace muchos años. Probablemente sea culpa como siempre de presupuesto pero por favor, hoy día una biblioteca así sin una reprografía eficaz es horrible. Solo le falta eso para ser una de las mejores bibliotecas musicales a nivel nacional. Muchas gracias!! ;De 26 a 40 años;Hombre;
40885718;2023-11-08 19:56:43;2023-11-08 19:59:10;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;9;6;8;9;10;9;6;8;;;No;;7;8;Algún piano está desafinado. El atril para las partituras podría tener una esteuctura rigida para que las hojas no se caigan 😊;De 26 a 40 años;Hombre;
40885843;2023-11-08 19:59:16;2023-11-08 20:00:14;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;;;10;10;10;Sí;10;10;10;;De 18 a 25 años;Mujer;
40885881;2023-11-08 20:02:11;2023-11-08 20:03:54;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;8;0;4;6;5;5;No;;5;;;De 41 a 64 años;Hombre;
40885885;2023-11-08 20:02:31;2023-11-08 20:04:03;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;9;10;10;10;10;10;10;No;;10;10;;De 26 a 40 años;Hombre;
40885894;2023-11-08 20:03:07;2023-11-08 20:04:28;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;6;6;6;10;10;6;10;6;6;6;No;;7;;;;;
40886027;2023-11-08 20:12:23;2023-11-08 20:13:44;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;10;10;5;5;10;10;No;;5;10;;De 41 a 64 años;Mujer;
40886121;2023-11-08 20:18:56;2023-11-08 20:22:39;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;;Sí;8;No;;No;;No;;;;9;9;8;8;7;5;8;No;;5;8;Mayor difusión de las actividades culturales que se celebran en la biblioteca;De 26 a 40 años;Mujer;
40886165;2023-11-08 20:21:23;2023-11-08 20:25:36;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;Servicio de reprografía de documentos (fotocopias, digitalización);;No;;Sí;10;No;;Sí;8;8;7;10;10;8;9;9;7;10;No;;8;9;Cambiaría la política de reserva de cabinas para que se pudieran reservar dos días seguidos. Los músicos necesitamos mucho estudio antes de un concierto y esto nos lo permitiría.;De 26 a 40 años;Mujer;
40886272;2023-11-08 20:28:37;2023-11-08 20:30:38;339096;;Completa;Desktop;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;9;Sí;9;9;9;10;10;10;9;;9;10;No;;;10;;Más de 65 años;Hombre;
40886398;2023-11-08 20:36:39;2023-11-08 20:39:41;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;No;;9;10;Que no decaiga su buen hacer;De 41 a 64 años;Hombre;
40886467;2023-11-08 20:41:45;2023-11-08 20:43:25;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;9;8;6;9;9;5;8;7;7;;Sí;7;7;7;;De 41 a 64 años;Mujer;
40886493;2023-11-08 20:43:21;2023-11-08 20:45:13;339096;;Completa;Desktop;;;;;;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);;;;;;;;;;;7;;;9;7;;8;No;;;8;;Más de 65 años;Mujer;
40886499;2023-11-08 20:43:52;2023-11-08 20:47:47;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;Sí;8;No;;No;;No;;;;9;10;10;5;5;5;5;No;;5;9;;Más de 65 años;Hombre;
40886612;2023-11-08 20:50:43;2023-11-08 20:58:26;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;Sí;7;;7;9;;;8;;;;No;;6;7;Algún piano está bastante castigado ya.;De 41 a 64 años;Hombre;
40889127;2023-11-08 21:02:25;2023-11-08 21:04:16;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;9;10;10;7;9;10;No;;10;10;;De 18 a 25 años;Hombre;
40889466;2023-11-08 21:03:32;2023-11-08 21:06:36;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;8;No;;No;;Sí;6;;;8;9;5;7;8;7;7;No;;5;7;Mayor disponibilidad de cabinas de estudio con piano;De 26 a 40 años;Mujer;
40889843;2023-11-08 21:04:47;2023-11-08 21:09:42;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;No;;;3;;0;10;10;;10;8;;8;No;;6;8;Más ejemplares de lo más demandado;Más de 65 años;Mujer;
40889960;2023-11-08 21:05:10;2023-11-08 21:08:11;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;8;;9;10;;;10;10;;9;No;;10;10;;De 26 a 40 años;Mujer;
40890067;2023-11-08 21:05:31;2023-11-08 21:08:13;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;10;10;6;6;6;10;No;;6;8;La calefacción estaba sofocante la vez que fui. Por ende no sólo uno sino también los instrumentos sufren;De 26 a 40 años;Mujer;
40891487;2023-11-08 21:10:02;2023-11-08 21:13:21;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;9;Sí;9;;;9;9;;;;;;No;;9;9;;Más de 65 años;Mujer;
40892121;2023-11-08 21:14:49;2023-11-08 21:18:42;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;No;;No;;;;7;10;4;5;5;5;8;No;;0;7;Toco el saxofón y resulta que justo para mi no existe el prestamo ocasional del instrumento para ensayar en las cabinas un día suelto, hay muchos instrumentos, pero no saxofón.;De 26 a 40 años;Hombre;
40892188;2023-11-08 21:20:08;2023-11-08 21:21:56;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;7;7;7;9;10;10;7;7;7;7;No;;10;8;;De 41 a 64 años;Mujer;
40892196;2023-11-08 21:20:30;2023-11-08 21:28:27;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;6;No;;No;;Sí;6;5;5;7;8;7;6;6;6;6;No;;6;6;Creo que las estanterias deberian ser de acceso libre y sin llave. No tiene sentido tener libros con llave. Tambien creo que se deberia perseguir mas a aquellos usuarios que no devuelven los libros prestados. Es una buena biblioteca 3sp3cializada en musica y el acceso a sus fondos deberian ser mas accesibles;De 41 a 64 años;Mujer;
40892300;2023-11-08 21:28:12;2023-11-09 12:59:22;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;No;;;;10;10;;;;;;;;;10;;De 41 a 64 años;Mujer;
40893749;2023-11-08 21:49:46;2023-11-08 21:55:35;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;Servicio de información general y especializada;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;;No;;Sí;9;No;;;;9;10;5;10;9;9;9;No;;5;9;Pienso que las instituciones culturales del Ayuntamiento (Hemeroteca, Bibliotecas) deberían cambiar su presentación al público general: a los chavales jóvenes les gusta hacer música, el hip hop, el rap ¿por qué no se dan a conocer entre este público? Cambien el diseño de la web, háganla más atractiva. La música es también un diálogo entre culturas: las distintas músicas cristianas, las islámicas, budistas, etc. Ofrezcan la visión de centro de intercambio cultural. Pero es una sugerencia y puedo estar equivocado;De 41 a 64 años;Hombre;
40894009;2023-11-08 22:03:38;2023-11-08 22:09:35;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;Servicio de información general y especializada;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;9;;;Sí;9;Sí;9;7;7;9;9;;9;7;8;;No;;;9;;De 41 a 64 años;Mujer;
40894025;2023-11-08 22:04:43;2023-11-08 22:08:03;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;9;Sí;8;No;;No;;;;8;7;10;9;10;9;7;No;;8;9;;De 41 a 64 años;Hombre;
40894053;2023-11-08 22:06:32;2023-11-08 22:08:04;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;;;;10;No;;9;10;;De 26 a 40 años;Mujer;
40894199;2023-11-08 22:18:27;2023-11-08 22:20:51;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;7;8;9;7;8;8;7;;;No;;9;8;Más disponibilidad en cabinas se wnsayo;De 41 a 64 años;Mujer;
40894282;2023-11-08 22:24:13;2023-11-08 22:25:29;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;Sí;10;8;10;;De 18 a 25 años;Mujer;
40894329;2023-11-08 22:28:34;2023-11-08 23:28:21;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;10;10;10;10;Sí;10;10;10;No se me ocurre ninguna pues todo funcionó de manera exelente.;De 41 a 64 años;Hombre;
40894330;2023-11-08 22:28:42;2023-11-08 22:31:16;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;;;;;;No;;10;10;;De 41 a 64 años;Mujer;
40894352;2023-11-08 22:30:13;2023-11-08 22:31:42;339096;;Parcial;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;No;;;;;;8;;;;1;;;;;;;;;;
40894405;2023-11-08 22:34:06;2023-11-08 22:36:58;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;8;0;9;6;0;7;No;;8;7;Dentro de las cabinas, en la de rock son batería varias cosas. Revisar más frecuentemente parches y platos ya que al ser una batería se pueden romper con Facilidad y adherir algún plato como china, splash u otro crash para darle más versatilidad.;De 18 a 25 años;Hombre;
40894528;2023-11-08 22:47:15;2023-11-08 22:50:01;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;;;;10;Sí;10;;10;Considero que la pausa entre reserva y reserva de cabina  es demasiado larga. Podría sacarse más partido y más uso. También considero que sería ideal que por lo menos estuviera abierto también los sábados por la mañana.;De 26 a 40 años;Mujer;
40894545;2023-11-08 22:48:52;2023-11-08 22:51:59;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;;8;6;;;No;;9;9;;De 18 a 25 años;Hombre;
40894644;2023-11-08 22:59:52;2023-11-08 23:01:57;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;No;;No;;No;;Sí;10;10;10;10;10;;10;10;;10;No;;;10;;De 41 a 64 años;Mujer;
40894648;2023-11-08 23:00:03;2023-11-08 23:02:49;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;9;No;;Sí;10;No;;;;10;10;8;8;8;9;8;No;;;9;;De 41 a 64 años;Mujer;
40894662;2023-11-08 23:01:43;2023-11-08 23:05:32;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;10;10;10;10;10;10;No;;7;10;;De 41 a 64 años;Mujer;
40894666;2023-11-08 23:02:09;2023-11-08 23:05:32;339096;;Completa;Desktop;;;;;;;Servicio de información general y especializada;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;No;;Sí;10;Sí;8;8;8;5;10;10;5;5;10;10;No;;8;9;Dotar de más presupuesto y personal a la Biblioteca para que pueda tener los medios de atender al público, realizar el servicio y crecer.;De 26 a 40 años;Mujer;
40894676;2023-11-08 23:03:48;2023-11-08 23:06:22;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;;;;;8;9;;;;;;;;;9;;Más de 65 años;Mujer;
40894724;2023-11-08 23:08:21;2023-11-08 23:10:22;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;10;No;;No;;No;;;;10;10;10;10;10;10;10;No;;;10;;De 41 a 64 años;Mujer;
40894765;2023-11-08 23:11:54;2023-11-08 23:14:49;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;7;8;9;10;0;10;;9;9;No;;8;9;Más lugares de lectura ;De 41 a 64 años;Mujer;
40894945;2023-11-08 23:29:34;2023-11-08 23:31:56;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;;10;;10;;10;No;;10;10;;De 26 a 40 años;Hombre;
40894990;2023-11-08 23:35:07;2023-11-08 23:40:18;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;9;8;8;9;9;;;;;;Sí;9;6;10;Permitir reservar cabinas en días consecutivos;Más de 65 años;Hombre;
40895107;2023-11-08 23:46:20;2023-11-08 23:48:03;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;9;;;;;;;;;9;No se me ocurre nada en.psrticular;De 41 a 64 años;Hombre;
40895149;2023-11-08 23:50:47;2023-11-08 23:51:49;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;Sí;8;8;8;9;10;6;7;8;;7;No;;9;9;;De 26 a 40 años;Mujer;
40895155;2023-11-08 23:51:38;2023-11-08 23:52:57;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40895596;2023-11-09 00:43:07;2023-11-09 00:47:04;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;No;;Sí;10;No;;;;8;10;10;10;8;10;10;No;;8;9;Sólo veo un par de cosas que podrían considerarse, que podrían disponibilizar más instrumentos para poder alquilar, y préstamo de partituras para sacarlas de la biblioteca. De resto todo perfecto. ;De 18 a 25 años;Hombre;
