MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,100;MINTBARRIO,C,10;NOMBRE_BAR,C,100;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TOTAL_ELEM,N,10,0;ESTADO,C,50
5653995;Área Deportiva CD_000052;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654012;Área Deportiva CD_000040;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654014;Área Deportiva CD_000038;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654018;Área Deportiva CD_000037;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654025;Área Deportiva CD_000039;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654045;Área Deportiva CD_000035;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654051;Área Deportiva CD_000034;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654055;Área Deportiva CD_000032;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
8799547;D2067-DEPORTIVA CALLE MARSELLA;20;SAN BLAS - CANILLEJAS;205;ROSAS;29/03/22;CALLE;MARSELLA;29;20119513;8;ACTIVO
8799600;D2068-DEPORTIVA CONSERVEROS;20;SAN BLAS - CANILLEJAS;204;ARCOS;05/04/22;CALLE;CONSERVEROS;17;11135747;15;ACTIVO
5653806;Área Deportiva CD_000004;20;SAN BLAS - CANILLEJAS;208;EL SALVADOR;24/07/15;;;;;9;OPERATIVO
451521;D1054-Deportiva CALLE SESEÑA, 34;10;LATINA;104;ALUCHE;01/01/04;PASEO;EXTREMADURA;351;11068877;11;OPERATIVO
