alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
VIVIENDAS DE USO TU;SIN CATEGORIA;GRAN VIA, 47-2º PTA. I;CALLE;Gran Vía;47;;;;2;PTA. I;28013;Madrid;VT-11712
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, BAJO A;CALLE;de Rafael de Riego;24;;;;BAJO;A;28045;Madrid;VT-11713
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 4º B;CALLE;de Rafael de Riego;24;;;;4;B;28045;Madrid;VT-11714
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 3º B;CALLE;de Rafael de Riego;24;;;;3;B;28045;Madrid;VT-11715
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 2º B;CALLE;de Rafael de Riego;24;;;;2;B;28045;Madrid;VT-11716
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 1º B;CALLE;de Rafael de Riego;24;;;;1;B;28045;Madrid;VT-11717
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 2º A;CALLE;de Rafael de Riego;24;;;;2;A;28045;Madrid;VT-11718
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 1º A;CALLE;de Rafael de Riego;24;;;;1;A;28045;Madrid;VT-11719
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 3º A;CALLE;de Rafael de Riego;24;;;;3;A;28045;Madrid;VT-11720
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, 4º A;CALLE;de Rafael de Riego;24;;;;4;A;28045;Madrid;VT-11721
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, BAJO B;CALLE;de Rafael de Riego;24;;;;BAJO;B;28045;Madrid;VT-11722
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24, BAJO D;CALLE;de Rafael de Riego;24;;;;BAJO;D;28045;Madrid;VT-11723
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24;CALLE;de Rafael de Riego;24;;;;BAJO;C;28045;Madrid;VT-11724
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24 1º C;CALLE;de Rafael de Riego;24;;;;1;C;28045;Madrid;VT-11725
VIVIENDAS DE USO TU;SIN CATEGORIA;RAFAEL DE RIEGO, 24 1º D;CALLE;de Rafael de Riego;24;;;;1;D;28045;Madrid;VT-11726
