ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TOTAL_ELEM
"9503906";"Circuito deportivo elemental";"116";"BUENAVISTA";"11";"CARABANCHEL";"OPERATIVO";"436240.363";"4468569.501";"ETRS89";40.36526089;-3.75096554;"AVENIDA";"CARABANCHEL ALTO";"21";"28054";"C/BLANCA CV C/DINERO";"31069202";"2023-09-15 00:00:00.0";"D1171";"AE21";6
"9536978";"Circuito deportivo elemental";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"440215.509";"4469037.072";"ETRS89";40.36976755;-3.70419329;"CALLE";"EXPROPIACION";"1";"28041";"CALLE CAMPOTEJAR, 15";"11080731";"2024-06-28 00:00:00.0";"D1272";"AE21";6
"9536980";"Circuito deportivo elemental";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"438941.872";"4469133.833";"ETRS89";40.37054691;-3.71920344;"CALLE";"GAINZA";"103";"28041";"GAINZA 103";"11079590";"2024-05-21 00:00:00.0";"D1274";"AE21";9
"9551703";"Circuito deportivo elemental";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"438951.484";"4469253.283";"ETRS89";40.37162368;-3.71910167;"CALLE";"GAINZA";"35";"28041";"GAINZA 35";"11079657";"2024-06-16 00:00:00.0";"D1275";"AE21";0
"9591399";"Circuito deportivo elemental";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"OPERATIVO";"440051.782";"4465858.793";"ETRS89";40.34112407;-3.70582305;"AVENIDA";"REAL DE PINTO";"82";"28021";"JUNTO A LAS LETRAS GRAN VIA DE VILLAVERDE";"20079282";"2023-12-15 00:00:00.0";"D1770";"AE21";6
"9599942";"Circuito deportivo elemental";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"OPERATIVO";"440637.198";"4466111.974";"ETRS89";40.34344672;-3.69895446;"AVENIDA";"GRAN VIA DE VILLAVERDE";"12";"28021";"GRAN VIA DE VILLAVERDE 12";"31065313";"2023-12-15 00:00:00.0";"D1772";"AE21";8
"9600060";"Circuito deportivo elemental";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441869.925";"4466789.542";"ETRS89";40.34963747;-3.68450268;"AVENIDA";"GRAN VIA DE VILLAVERDE";"6 Z";"28021";"GRAN VIA DE VILLAVERDE 6";"31073878";"2023-12-15 00:00:00.0";"D1774";"AE21";6
"9646119";"Circuito deportivo elemental";"123";"SAN FERMIN";"12";"USERA";"OPERATIVO";"441160.757";"4469735.234";"ETRS89";40.37612424;-3.69312456;"CALLE";"SAN MAXIMO";"8";"28041";"CALLE DE SAN MÁXIMO 8";"20075898";"2024-08-24 00:00:00.0";"D1276";"AE21";0
"9652651";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446383.189";"4468653.31";"ETRS89";40.36672989;-3.63151719;;;;"28031";;;;;"PV24";5
"7861611";"Circuito deportivo elemental";"127";"PRADOLONGO";"12";"USERA";"OPERATIVO";"440520.941";"4470048.468";"ETRS89";40.37890060;-3.70069028;"CALLE";"TOMELLOSO";"63";"28026";;"11082377";"2021-04-16 00:00:00.0";"D1258";"AE21";11
"7872643";"Circuito deportivo elemental";"033";"ESTRELLA";"03";"RETIRO";"OPERATIVO";"443925.036";"4474193.601";"ETRS89";40.41647839;-3.66095617;;;;;"PARQUE ROMA";;"2021-04-30 00:00:00.0";"D0351";"AE21";14
"7887312";"Circuito deportivo elemental";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"OPERATIVO";"442936.425";"4478574.203";"ETRS89";40.45587384;-3.67300155;"CALLE";"URUGUAY";"23";"28016";;"11025164";"2021-05-10 00:00:00.0";"D0505";"AE21";14
"7896349";"Circuito deportivo elemental";"107";"AGUILAS";"10";"LATINA";"OPERATIVO";"434518.081";"4469811.049";"ETRS89";40.37631177;-3.77137650;"CALLE";"SOLEDAD CAZORLA";"20";"28044";;"20020646";"2021-05-20 00:00:00.0";"D1066";"AE21";7
"7902175";"Circuito deportivo elemental";"116";"BUENAVISTA";"11";"CARABANCHEL";"OPERATIVO";"435784.086";"4468490.011";"ETRS89";40.36450979;-3.75633116;"CALLE";"MORALES";"13";"28054";"SALVADOR ALLENDE";"31001529";"2021-05-26 00:00:00.0";"D1160";"AE21";9
"7908163";"Circuito deportivo elemental";"075";"RIOS ROSAS";"07";"CHAMBERI";"OPERATIVO";"440903.135";"4477517.686";"ETRS89";40.44621418;-3.69688197;"CALLE";"RAIMUNDO FERNANDEZ VILLAVERDE";"50";"28003";;"11042234";"2021-06-18 00:00:00.0";"D0703";"AE21";8
"7927322";"Circuito deportivo elemental";"175";"ANGELES";"17";"VILLAVERDE";"OPERATIVO";"440578.013";"4467984.537";"ETRS89";40.36031165;-3.69982564;"CALLE";"LA CANCION DEL OLVIDO";"48";"28041";"PARQUE DE INGENIEROS";"11129067";"2021-06-03 00:00:00.0";"D1762";"AE21";15
"7928019";"Circuito deportivo elemental";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444422.63";"4471304.541";"ETRS89";40.39048543;-3.65483913;"CALLE";"ESCRITOR";"3";"28038";"PARQUE AZORIN";"20003182";"2021-05-13 00:00:00.0";"D1361";"AE21";15
"7928053";"Circuito deportivo elemental";"182";"SANTA EUGENIA";"18";"VILLA DE VALLECAS";"OPERATIVO";"448275.281";"4470285.356";"ETRS89";40.38155205;-3.60936513;"CALLE";"ZAZUAR";"8";"28031";"SANTA EGUGENIA";"11131614";"2021-05-17 00:00:00.0";"D1863";"AE21";17
"7928425";"Circuito deportivo elemental";"193";"VALDERRIVAS";"19";"VICALVARO";"OPERATIVO";"448792.898";"4472000.735";"ETRS89";40.39703735;-3.60340535;"CALLE";"CALIZA";"22";"28032";"AV. GRAN VIA DEL ESTE";"20180508";"2021-05-06 00:00:00.0";"D1967";"AE21";16
"7943813";"Circuito deportivo elemental";"173";"BUTARQUE";"17";"VILLAVERDE";"OPERATIVO";"442286.467";"4466829.38";"ETRS89";40.35002528;-3.67960168;"CALLE";"ORO";"16";"28021";"C. CALCIO";"31050200";"2021-08-26 00:00:00.0";"D1764";"AE21";22
"8776080";"Circuito deportivo elemental";"086";"VALVERDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"443612.825";"4484668.258";"ETRS89";40.51081793;-3.66556671;"CALLE";"PORTOMARIN";"21";"28050";"DE SANTISO";"31050947";"2021-10-27 00:00:00.0";"D0869";"AE21";7
"9294001";"Circuito deportivo elemental";"116";"BUENAVISTA";"11";"CARABANCHEL";"OPERATIVO";"435518.878";"4469646.332";"ETRS89";40.37490596;-3.75957144;"CALLE";"MASCARAQUE";"42";"28044";"PARQUE DE LAS CRUCES";"11077854";"2023-08-01 00:00:00.0";"D1168";"AE21";10
"9295425";"Circuito deportivo elemental";"124";"ALMENDRALES";"12";"USERA";"OPERATIVO";"440390.19";"4470230.07";"ETRS89";40.38052723;-3.70224746;"CALLE";"CRISTO DE LA VICTORIA";"33";"28026";"CV CRISTO DE LEPANTO";"11085828";"2023-06-23 00:00:00.0";"D1268";"AE21";9
"9396658";"Circuito deportivo elemental";"151";"VENTAS";"15";"CIUDAD LINEAL";"OPERATIVO";"444884.159";"4475243.982";"ETRS89";40.42600489;-3.64974271;"CALLE";"SANTA FELICIDAD";"20";"28017";"CV C/MARIA TERESA SAEZ DE HEREDIA";"11103833";"2023-09-15 00:00:00.0";"D1557";"AE21";5
"9397076";"Circuito deportivo elemental";"131";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"442564.384";"4470313.854";"ETRS89";40.38143470;-3.67664313;"RONDA";"SUR";"2";"28053";"C/ LAGARTERA";"31012755";"2023-11-28 00:00:00.0";"D1372";"AE21";12
"9403205";"Circuito deportivo elemental";"083";"PEÑAGRANDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"437908.802";"4482002.126";"ETRS89";40.48639329;-3.73262790;"CALLE";"MARIA DE MAEZTU";"4";"28049";"LILI ALVAREZ CV MADRE TERESA DE CALCUTA";"31054538";"2024-02-14 00:00:00.0";"D0873";"AE21";7
"9438374";"Circuito deportivo elemental";"084";"PILAR";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"439964.516";"4481434.502";"ETRS89";40.48143113;-3.70832011;"CALLE";"SANTIAGO DE COMPOSTELA";"62";"28034";"CV C/PINTOR FRANCISCO LLORENS";"11045726";"2024-03-26 00:00:00.0";"D0876";"AE21";12
"9492866";"Circuito deportivo elemental";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"OPERATIVO";"442792.421";"4478580.469";"ETRS89";40.45592039;-3.67470037;"CALLE";"PUERTO RICO";"29";"28016";"C/PUERTO RICO 29";"11025194";"2024-03-07 00:00:00.0";"D0508";"AE21";3
"9494172";"Circuito deportivo elemental";"065";"VALDEACEDERAS";"06";"TETUAN";"OPERATIVO";"439941.714";"4479626.547";"ETRS89";40.46514275;-3.70841793;"PASEO";"DIRECCION";"190";"28039";"PASEO DE LA DIRECCIÓN 215";"31028286";"2024-03-19 00:00:00.0";"D0658";"AE21";6
"9536964";"Circuito deportivo elemental";"125";"MOSCARDO";"12";"USERA";"OPERATIVO";"440121.916";"4471481.691";"ETRS89";40.39178324;-3.70552534;"CALLE";"MARIBLANCA";"14";"28026";"C/TORERO";"11084099";"2024-01-31 00:00:00.0";"D1271";"AE21";7
